Due_date,Due_month,Due_band,Tenure_band,new_old,disbursal_category,reloan_type,payment_tenure,state,zone,cnt_due,amt_due,cnt_paid,collection_amount,sanction_amount
2025-09-19,2025-09-01,<10K,<15D,New,NF,,DD,TELANGANA,South,1,1650.0,1,1650,1500.0
2025-09-19,2025-09-01,<10K,<15D,New,NF,,DD,RAJASTHAN,North,4,15400.0,4,15400,14000.0
2025-09-19,2025-09-01,<10K,<15D,New,NF,,minus_1,UTTAR PRADESH,North,1,5940.0,1,5940,5400.0
2025-09-19,2025-09-01,<10K,>45D,New,NF,,plus_90+,TELANGANA,South,1,6380.0,0,,5800.0
2025-09-20,2025-09-01,<10K,<15D,New,NF,,plus_2,GOA,West,1,5830.0,1,6466,5300.0
2025-09-21,2025-09-01,<10K,26-30D,New,NF,,plus_16_20,MADHYA PRADESH,West,1,1540.0,1,330,1400.0
2025-09-21,2025-09-01,<10K,26-30D,New,NF,,plus_11_15,MADHYA PRADESH,West,0,0.0,0,1560,1400.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_2,JHARKHAND,East,1,3700.0,1,3750,2500.0
2025-10-30,2025-10-01,<10K,>45D,New,E,,plus_90+,UTTAR PRADESH,North,6,40280.0,0,,33000.0
2025-10-30,2025-10-01,<10K,>45D,New,E,,plus_90+,RAJASTHAN,North,4,29270.0,0,,23000.0
2025-09-23,2025-09-01,<10K,>45D,New,NF,,plus_31_60,ANDHRA PRADESH,South,1,2750.0,0,15,2500.0
2025-09-23,2025-09-01,<10K,<15D,New,NF,,minus_3,TELANGANA,South,1,2860.0,1,2860,2600.0
2025-09-23,2025-09-01,<10K,<15D,New,NF,,DD,UTTAR PRADESH,North,1,2860.0,1,2860,2600.0
2025-09-23,2025-09-01,<10K,<15D,New,NF,,DD,MAHARASHTRA,West,3,15400.0,3,15400,14000.0
2025-09-23,2025-09-01,<10K,<15D,New,NF,,DD,MADHYA PRADESH,West,1,3850.0,1,3850,3500.0
2025-09-24,2025-09-01,<10K,>45D,New,NF,,plus_90+,MADHYA PRADESH,West,1,3080.0,1,9268,2800.0
2025-09-24,2025-09-01,<10K,<15D,Old,NF,re_loan_normal_approved,minus_8,UTTAR PRADESH,North,1,1650.0,1,1650,1500.0
2025-09-24,2025-09-01,<10K,<15D,New,NF,,minus_2,UTTAR PRADESH,North,1,2750.0,1,2750,2500.0
2025-09-25,2025-09-01,<10K,<15D,New,NF,,minus_1,CHHATTISGARH,East,1,3080.0,1,3080,2800.0
2025-09-26,2025-09-01,<10K,<15D,New,NF,,DD,UTTAR PRADESH,North,1,1650.0,1,1650,1500.0
2025-10-30,2025-10-01,<10K,>45D,New,E,,plus_90+,TAMIL NADU,South,4,17680.0,0,,13500.0
2025-10-01,2025-10-01,<10K,<15D,New,E,,minus_11,TAMIL NADU,South,1,1710.0,1,1710,1500.0
2025-10-01,2025-10-01,<10K,<15D,New,E,,minus_2,TELANGANA,South,1,3078.0,1,3078,2700.0
2025-09-27,2025-09-01,<10K,<15D,Old,NF,re_loan_normal_approved,DD,UTTAR PRADESH,North,2,8470.0,2,8470,7700.0
2025-09-27,2025-09-01,<10K,<15D,New,NF,,DD,TAMIL NADU,South,2,15400.0,2,15400,14000.0
2025-10-01,2025-10-01,<10K,<15D,New,E,,minus_11,RAJASTHAN,North,1,3078.0,1,3078,2700.0
2025-09-27,2025-09-01,<10K,<15D,Old,NF,re_loan_normal_approved,DD,JHARKHAND,East,1,3740.0,1,3740,6800.0
2025-10-30,2025-10-01,<10K,>45D,New,E,,plus_90+,BIHAR,East,5,38040.0,0,,28000.0
2025-09-28,2025-09-01,10K-20K,21-25D,New,NF,,plus_11_15,MADHYA PRADESH,West,1,10450.0,0,10500,9500.0
2025-09-29,2025-09-01,<10K,<15D,Old,NF,re_loan_normal_approved,DD,TELANGANA,South,2,7150.0,2,7150,6500.0
2025-09-29,2025-09-01,<10K,<15D,New,NF,,minus_2,BIHAR,East,1,1870.0,1,1870,1700.0
2025-10-30,2025-10-01,<10K,<15D,New,NF,,minus_15,TELANGANA,South,4,23136.0,4,23136,17600.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,KERALA,South,7,46450.0,0,,37000.0
2025-10-30,2025-10-01,<10K,>45D,Old,NF,re_loan_normal_approved,plus_90+,MAHARASHTRA,West,3,20133.0,0,,15100.0
2025-10-30,2025-10-01,<10K,36-40D,Old,NF,re_loan_normal_approved,DD,UTTAR PRADESH,North,1,3400.0,1,3400,2500.0
2025-10-30,2025-10-01,<10K,>45D,New,E,,plus_90+,GUJARAT,West,6,42060.0,0,,32000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,KARNATAKA,South,17,104720.0,0,,84000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,E,,plus_90+,GUJARAT,West,3,41400.0,0,,32000.0
2025-10-30,2025-10-01,<10K,21-25D,New,NF,,minus_15,MAHARASHTRA,West,1,3400.0,1,7222,9500.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,TAMIL NADU,South,8,41640.0,0,,32000.0
2025-10-30,2025-10-01,<10K,16-25D,New,NF,,minus_15,BIHAR,East,1,5440.0,1,6250,7000.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,minus_1,GUJARAT,West,3,18840.0,3,15840,14000.0
2025-10-30,2025-10-01,<10K,31-35D,Old,NF,re_loan_normal_approved,minus_1,TELANGANA,South,1,2176.0,1,3176,7600.0
2025-10-30,2025-10-01,<10K,<15D,Old,NF,re_loan_normal_approved,minus_15,GOA,West,1,3400.0,1,3400,2500.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,TELANGANA,South,17,97278.0,0,,77200.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,UTTAR PRADESH,North,38,195551.0,0,3300,163300.0
2025-10-30,2025-10-01,<10K,31-35D,Old,NF,re_loan_normal_approved,minus_1,ASSAM,East,1,9112.0,1,9112,6700.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,ODISHA,East,10,58010.0,0,,47000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,MAHARASHTRA,West,17,85434.0,0,,67900.0
2025-10-30,2025-10-01,<10K,41-45D,Old,NF,re_loan_normal_approved,plus_5,UTTAR PRADESH,North,1,3400.0,1,3775,2500.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,BIHAR,East,11,50380.0,0,2000,45000.0
2025-10-30,2025-10-01,10K-20K,>45D,New,E,,plus_90+,UTTAR PRADESH,North,3,40560.0,0,,31000.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_90+,KARNATAKA,South,5,20125.0,0,,15500.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,PUNJAB,North,3,18315.0,0,,14500.0
2025-10-30,2025-10-01,10K-20K,16-25D,New,NF,,minus_15,ANDHRA PRADESH,South,1,13400.0,1,23332,23000.0
2025-10-30,2025-10-01,<10K,>45D,New,J,,plus_90+,BIHAR,East,2,11460.0,0,6000,9000.0
2025-10-30,2025-10-01,20K-30K,>45D,New,NF,,plus_90+,HARYANA,North,4,89558.0,0,,69400.0
2025-10-30,2025-10-01,10K-20K,>45D,New,NF,,plus_90+,DELHI,North,3,35920.0,0,,28000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,GUJARAT,West,10,52110.0,0,,42000.0
2025-10-30,2025-10-01,<10K,>45D,New,NF,,plus_90+,MADHYA PRADESH,West,12,71690.0,0,3,62000.0
2025-10-30,2025-10-01,<10K,26-30D,New,NF,,minus_6,WEST BENGAL,East,2,6944.0,2,6944,5200.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,plus_1,UTTAR PRADESH,North,3,19215.0,3,20810,14500.0
2025-10-30,2025-10-01,<10K,31-35D,New,NF,,plus_1,UTTARAKHAND,North,1,3752.0,1,4060,2800.0
2025-10-30,2025-10-01,<10K,>45D,Old,NF,re_loan_normal_approved,plus_90+,UTTAR PRADESH,North,3,22666.0,0,,17900.0
